country_name,cases,deaths,region,total_recovered,new_deaths,new_cases,serious_critical,active_cases,total_cases_per_1m_population,deaths_per_1m_population,total_tests,tests_per_1m_population
USA,987322,55415,,118781,2,162,15143,813126,2983,167,5470555,16527
Spain,226629,23190,,117727,0,0,7764,85712,4847,496,1199548,25656
Italy,197675,26644,,64928,0,0,2009,106103,3269,441,1757659,29071
France,162100,22856,,44903,0,0,4682,94341,2483,350,463662,7103
Germany,157770,5976,,114500,0,0,2570,37294,1883,71,2072669,24738
UK,152840,20732,,,0,0,1559,131764,2251,305,669850,9867
Turkey,110130,2805,,29140,0,0,1776,78185,1306,33,898742,10656
Iran,90481,5710,,69657,0,0,3079,15114,1077,68,421313,5016
Russia,87147,794,,7346,47,6198,2300,79007,597,5,3019434,20690
China,82830,4633,,77474,1,3,52,723,58,3,0,0
Brazil,63100,4286,,30152,15,241,8318,28662,297,20,291922,1373
Canada,46895,2560,,17321,0,0,557,27014,1243,68,707508,18746
Belgium,46687,7207,,10878,113,553,903,28602,4028,622,197747,17062
Netherlands,37845,4475,,,0,0,934,33120,2209,261,193950,11319
Switzerland,29061,1610,,21800,0,0,185,5651,3358,186,245300,28343
India,27977,884,,6523,3,87,0,20570,20,,665819,482
Peru,27517,728,,8088,0,0,554,18701,835,22,232747,7059
Portugal,23864,903,,1329,0,0,182,21632,2340,89,330512,32414
Ecuador,22719,576,,1366,0,0,127,20777,1288,33,56513,3203
Ireland,19262,1087,,9233,0,0,142,8942,3901,220,127319,25785
Sweden,18640,2194,,1005,0,0,399,15441,1846,217,94500,9357
Saudi Arabia,17522,139,,2357,0,0,115,15026,503,4,200000,5745
Israel,15466,202,,6796,1,23,129,8468,1787,23,302691,34971
Austria,15274,549,,12362,7,49,140,2363,1696,61,232537,25819
Mexico,14677,1351,,8354,46,835,378,4972,114,10,67635,525
Singapore,14423,12,,1060,0,799,22,13351,2465,2,121774,20815
Japan,13441,372,,1809,0,0,296,11260,106,3,149074,1179
Chile,13331,189,,7024,0,0,418,6118,697,10,155975,8159
Pakistan,13328,281,,3029,0,0,111,10018,60,1,150756,682
Poland,11761,539,,2466,4,144,160,8756,311,14,290633,7679
Romania,11339,631,,3141,12,303,227,7567,589,33,143834,7477
Belarus,11289,75,,1740,3,826,92,9474,1195,8,153845,16281
S. Korea,10738,243,,8764,1,10,55,1731,209,5,601660,11735
UAE,10349,76,,1978,0,0,1,8295,1046,8,1057326,106904
Qatar,10287,10,,1012,0,0,72,9265,3571,3,82289,28562
Indonesia,9096,765,,1151,22,214,0,7180,33,3,75157,275
Ukraine,9009,220,,864,11,392,110,7925,206,5,93519,2138
Denmark,8698,422,,5805,0,123,70,2471,1502,73,155810,26900
Serbia,8042,156,,1182,0,0,85,6704,920,18,64303,7360
Philippines,7777,511,,932,10,198,31,6334,71,5,84789,774
Norway,7527,202,,32,1,0,49,7293,1388,37,155125,28614
Czechia,7408,221,,2600,1,4,73,4587,692,21,218474,20401
Australia,6720,83,,5586,0,4,43,1051,264,3,517063,20277
Dominican Republic,6135,278,,910,0,0,144,4947,566,26,22498,2074
Bangladesh,5913,152,,131,7,497,1,5630,36,,50401,306
Malaysia,5820,99,,3957,1,40,37,1764,180,3,131491,4063
Panama,5779,165,,369,6,241,85,5245,1339,38,26642,6175
Colombia,5379,244,,1133,0,0,117,4002,106,5,87199,1714
Finland,4695,190,,2500,0,119,62,2005,847,34,82437,14878
South Africa,4546,87,,1473,0,0,36,2986,77,1,168643,2843
Egypt,4534,317,,1176,0,0,0,3041,44,3,90000,879
Morocco,4115,161,,669,0,50,1,3285,111,4,28416,770
Argentina,3892,192,,1107,0,0,144,2593,86,4,49905,1104
Luxembourg,3723,88,,3104,0,0,22,531,5947,141,39003,62307
Moldova,3408,101,,925,5,0,212,2382,845,25,11763,2916
Algeria,3382,425,,1508,0,0,40,1449,77,10,6500,148
Kuwait,3075,20,,806,0,0,61,2249,720,5,0,0
Thailand,2931,52,,2609,1,9,61,270,42,,178083,2551
Kazakhstan,2791,25,,682,0,74,35,2084,149,1,205560,10948
Bahrain,2647,8,,1189,0,0,2,1450,1556,5,114110,67061
Hungary,2583,280,,498,8,83,61,1805,267,29,65625,6793
Greece,2517,134,,577,0,0,46,1806,241,13,64608,6199
Oman,2049,10,,364,0,51,3,1675,401,2,0,0
Croatia,2030,55,,1103,0,0,23,872,494,13,31622,7703
Uzbekistan,1887,8,,826,0,18,8,1053,56,,242536,7247
Iraq,1820,87,,1263,0,0,0,470,45,2,71471,1777
Armenia,1808,29,,848,1,62,10,931,610,10,18547,6259
Iceland,1792,10,,1608,0,0,3,174,5251,29,46352,135833
Afghanistan,1703,57,,220,7,172,7,1426,44,1,8694,223
Estonia,1647,50,,233,1,4,7,1364,1242,38,48406,36491
Azerbaijan,1645,21,,1139,0,0,15,485,162,2,120479,11883
Cameroon,1621,56,,786,0,0,12,779,61,2,0,0
Ghana,1550,11,,155,0,0,4,1384,50,,100622,3238
Bosnia and Herzegovina,1516,59,,624,0,0,4,833,462,18,25830,7873
New Zealand,1469,19,,1180,1,0,1,270,305,4,123920,25698
Lithuania,1449,41,,474,0,11,17,934,532,15,106775,39223
Slovenia,1402,83,,221,1,6,22,1098,674,40,49607,23862
North Macedonia,1386,61,,500,0,0,13,825,665,29,15120,7257
Slovakia,1381,18,,403,0,2,7,960,253,3,74099,13572
Cuba,1369,54,,501,0,0,11,814,121,5,39828,3516
Bulgaria,1348,56,,205,0,48,41,1087,194,8,27000,3886
Nigeria,1273,40,,239,0,0,2,994,6,,10918,53
Ivory Coast,1150,14,,468,0,0,0,668,44,,0,0
Hong Kong,1038,4,,787,0,0,4,247,138,,145640,19426
Djibouti,1023,2,,411,0,0,0,610,1035,2,11741,11884
Guinea,996,7,,208,0,0,0,781,76,,0,0
Bolivia,950,50,,80,4,84,3,820,81,4,5791,496
Tunisia,949,38,,216,0,0,20,695,80,3,20818,1761
Latvia,818,13,,267,1,6,5,538,434,7,49235,26103
Cyprus,817,14,,148,0,0,15,655,677,12,43542,36064
Andorra,738,40,,344,0,0,17,354,9552,518,1673,21653
Albania,726,28,,410,0,0,4,288,252,10,7279,2529
,721,15,,645,0,0,4,61,0,0,0,0
Diamond Princess,712,13,,645,0,0,4,54,0,0,0,0
Lebanon,707,24,,145,0,0,44,538,104,4,27827,4077
Niger,696,29,,350,0,0,0,317,29,1,5013,207
Kyrgyzstan,695,8,,395,0,13,13,292,107,1,45627,6994
Costa Rica,695,6,,264,0,0,8,425,136,1,12467,2447
Senegal,671,9,,283,0,0,1,379,40,,466,28
Honduras,661,61,,79,2,34,10,521,67,6,3643,368
Burkina Faso,632,42,,453,0,0,0,137,30,2,0,0
Uruguay,606,15,,375,1,10,10,216,174,4,17063,4912
Sri Lanka,557,7,,126,0,34,2,424,26,,15240,712
San Marino,538,41,,64,0,0,4,433,15856,1208,2074,61124
Channel Islands,525,35,,332,0,0,0,158,3020,201,5342,30725
Guatemala,500,15,,49,2,27,5,436,28,,7200,402
Georgia,496,6,,149,0,10,6,341,124,2,11504,2884
DRC,459,28,,50,0,17,0,381,5,,0,0
Malta,448,4,,282,0,0,2,162,1015,9,27981,63371
Jordan,447,7,,337,0,0,5,103,44,,63737,6247
Somalia,436,23,,10,0,0,2,403,27,1,0,0
Taiwan,429,6,,290,0,0,0,133,18,,60956,2559
Réunion,417,0,,300,0,0,2,117,466,0,0,0
Mayotte,401,4,,144,0,0,4,253,1470,15,2500,9164
Mali,389,23,,112,0,0,0,254,19,1,2172,107
Kenya,363,14,,106,0,8,2,243,7,,17992,335
Jamaica,350,7,,28,0,45,3,315,118,2,3262,1102
Palestine,342,2,,83,0,0,0,257,67,,27000,5293
Mauritius,332,9,,299,0,0,3,24,261,7,14445,11358
Venezuela,325,10,,137,0,0,3,178,11,,423592,14896
El Salvador,323,8,,89,0,25,4,226,50,1,20109,3100
Montenegro,321,7,,153,0,0,7,161,511,11,5085,8096
Isle of Man,308,18,,247,0,0,22,43,3622,212,2854,33563
Tanzania,299,10,,48,0,0,7,241,5,,0,0
Vietnam,270,0,,225,0,0,8,45,3,0,212965,2188
Equatorial Guinea,258,1,,8,0,0,0,249,184,,854,609
Sudan,237,21,,20,0,0,0,196,5,,0,0
Paraguay,228,9,,85,0,0,1,134,32,1,7630,1070
Maldives,214,0,,17,0,0,2,197,396,0,5296,9798
Congo,200,6,,19,0,0,0,175,36,1,0,0
Rwanda,191,0,,92,0,0,0,99,15,0,6959,537
Faeroe Islands,187,0,,178,0,0,0,9,3827,0,6588,134826
Gabon,176,3,,30,0,0,1,143,79,1,572,257
Martinique,175,14,,77,0,0,7,84,466,37,0,0
Guadeloupe,149,12,,82,0,0,11,55,372,30,0,0
Myanmar,146,5,,10,0,0,0,131,3,,6678,123
Gibraltar,141,0,,131,0,0,0,10,4185,0,2198,65240
Brunei,138,1,,124,0,0,2,13,315,2,13149,30056
Liberia,124,12,,25,0,0,0,87,25,2,0,0
Ethiopia,124,3,,50,0,1,0,71,1,,14588,127
Madagascar,124,0,,71,0,0,1,53,4,0,2357,85
Cambodia,122,0,,119,0,0,1,3,7,0,11576,692
Trinidad and Tobago,116,8,,58,0,1,0,50,83,6,1525,1090
French Guiana,111,1,,87,0,0,0,23,372,3,0,0
Bermuda,109,6,,39,1,0,10,64,1750,96,1546,24824
Cabo Verde,106,1,,1,0,0,0,104,191,2,791,1423
Aruba,100,2,,73,0,0,4,25,937,19,1622,15192
Togo,98,6,,62,0,0,0,30,12,,5951,719
Monaco,94,4,,42,0,0,1,48,2395,102,0,0
Sierra Leone,93,4,,10,0,0,0,79,12,,0,0
Zambia,88,3,,42,0,0,1,43,5,,2586,141
Liechtenstein,82,1,,55,0,0,0,26,2151,26,900,23605
Bahamas,80,11,,22,0,0,1,47,203,28,0,0
Uganda,79,0,,46,0,0,0,33,2,0,20329,444
Barbados,79,6,,39,0,0,4,34,275,21,1663,5787
Mozambique,76,0,,12,0,0,0,64,2,0,1644,53
Sint Maarten,74,13,,33,0,0,7,28,1726,303,266,6204
Guyana,74,8,,12,0,0,5,54,94,10,442,562
Haiti,74,6,,7,0,0,0,61,6,,769,67
Cayman Islands,70,1,,8,0,0,3,61,1065,15,940,14303
Benin,64,1,,33,0,0,0,30,5,,0,0
Libya,61,2,,18,0,0,0,41,9,,1623,236
Eswatini,59,1,,10,0,0,0,48,51,,714,615
French Polynesia,57,0,,43,0,0,1,14,203,0,2266,8067
Guinea-Bissau,53,1,,3,0,0,0,49,27,,1500,762
Nepal,52,0,,16,0,0,0,36,2,0,51367,1763
Chad,46,0,,15,0,0,0,31,3,0,0,0
Macao,45,0,,31,0,0,1,14,69,0,0,0
Syria,43,3,,14,0,0,0,26,2,,0,0
